variable,ISO,scenario,year,value
Need of heating only,GIN,SDS,2040,0
Need of heating only,MWI,SDS,2040,0
Need of heating only,PRY,SDS,2040,0
Need of heating only,BHS,SDS,2040,0
Need of heating only,GBR,SDS,2040,71
Need of heating only,BMU,SDS,2040,0
Need of heating only,MNP,SDS,2040,0
Need of heating only,GUM,SDS,2040,0
Need of heating only,UZB,SDS,2040,2
Need of heating only,OMN,SDS,2040,0
Need of heating only,GUF,SDS,2040,0
Need of heating only,ATF,SDS,2040,0
Need of heating only,SHN,SDS,2040,0
Need of heating only,ARG,SDS,2040,1
Need of heating only,BIH,SDS,2040,0
Need of heating only,MOZ,SDS,2040,0
Need of heating only,CHL,SDS,2040,21
Need of heating only,MAR,SDS,2040,0
Need of heating only,GTM,SDS,2040,0
Need of heating only,IOT,SDS,2040,0
Need of heating only,PHL,SDS,2040,0
Need of heating only,PRK,SDS,2040,5
Need of heating only,ZWE,SDS,2040,0
Need of heating only,NGA,SDS,2040,0
Need of heating only,MCO,SDS,2040,0
Need of heating only,MNG,SDS,2040,69
Need of heating only,KEN,SDS,2040,0
Need of heating only,CUW,SDS,2040,0
Need of heating only,GLP,SDS,2040,0
Need of heating only,NOR,SDS,2040,100
Need of heating only,MNE,SDS,2040,37
Need of heating only,STP,SDS,2040,0
Need of heating only,BOL,SDS,2040,38
Need of heating only,BRN,SDS,2040,0
Need of heating only,BHR,SDS,2040,0
Need of heating only,CXR,SDS,2040,0
Need of heating only,TKM,SDS,2040,0
Need of heating only,MMR,SDS,2040,0
Need of heating only,NZL,SDS,2040,9
Need of heating only,UGA,SDS,2040,0
Need of heating only,ECU,SDS,2040,19
Need of heating only,PCN,SDS,2040,0
Need of heating only,SUR,SDS,2040,0
Need of heating only,MHL,SDS,2040,0
Need of heating only,SYC,SDS,2040,0
Need of heating only,YEM,SDS,2040,0
Need of heating only,COL,SDS,2040,3
Need of heating only,ROU,SDS,2040,4
Need of heating only,SSD,SDS,2040,0
Need of heating only,PER,SDS,2040,23
Need of heating only,MTQ,SDS,2040,0
Need of heating only,IRL,SDS,2040,100
Need of heating only,RWA,SDS,2040,0
Need of heating only,AIA,SDS,2040,0
Need of heating only,GEO,SDS,2040,7
Need of heating only,NLD,SDS,2040,0
Need of heating only,IMN,SDS,2040,100
Need of heating only,ALB,SDS,2040,0
Need of heating only,ASM,SDS,2040,0
Need of heating only,SJM,SDS,2040,0
Need of heating only,FJI,SDS,2040,0
Need of heating only,VUT,SDS,2040,0
Need of heating only,ISL,SDS,2040,100
Need of heating only,SWZ,SDS,2040,0
Need of heating only,MLT,SDS,2040,0
Need of heating only,TTO,SDS,2040,0
Need of heating only,CAF,SDS,2040,0
Need of heating only,SPM,SDS,2040,0
Need of heating only,CIV,SDS,2040,0
Need of heating only,MRT,SDS,2040,0
Need of heating only,LAO,SDS,2040,0
Need of heating only,BLR,SDS,2040,10
Need of heating only,ESH,SDS,2040,0
Need of heating only,POL,SDS,2040,1
Need of heating only,LUX,SDS,2040,8
Need of heating only,IRN,SDS,2040,0
Need of heating only,SRB,SDS,2040,0
Need of heating only,PNG,SDS,2040,0
Need of heating only,DOM,SDS,2040,0
Need of heating only,WLF,STEPS,2040,0
Need of heating only,MSR,STEPS,2040,0
Need of heating only,MLI,STEPS,2040,0
Need of heating only,CUB,STEPS,2040,0
Need of heating only,TGO,STEPS,2040,0
Need of heating only,UMI,STEPS,2040,0
Need of heating only,BTN,STEPS,2040,12
Need of heating only,XKX,STEPS,2040,0
Need of heating only,NCL,STEPS,2040,0
Need of heating only,BES,STEPS,2040,0
Need of heating only,JOR,STEPS,2040,0
Need of heating only,VIR,STEPS,2040,0
Need of heating only,ZMB,STEPS,2040,0
Need of heating only,GUY,STEPS,2040,0
Need of heating only,KNA,STEPS,2040,0
Need of heating only,SVK,STEPS,2040,7
Need of heating only,GAB,STEPS,2040,0
Need of heating only,GRC,STEPS,2040,0
Need of heating only,GHA,STEPS,2040,0
Need of heating only,JPN,STEPS,2040,0
Need of heating only,MDG,STEPS,2040,0
Need of heating only,NER,STEPS,2040,0
Need of heating only,DMA,STEPS,2040,0
Need of heating only,JAM,STEPS,2040,0
Need of heating only,KHM,STEPS,2040,0
Need of heating only,LBN,STEPS,2040,0
Need of heating only,CZE,STEPS,2040,0
Need of heating only,GRD,STEPS,2040,0
Need of heating only,TON,STEPS,2040,0
Need of heating only,MUS,STEPS,2040,0
Need of heating only,FIN,STEPS,2040,94
Need of heating only,FRA,STEPS,2040,1
Need of heating only,MAF,STEPS,2040,0
Need of heating only,ABCD,STEPS,2040,0
Need of heating only,HRV,STEPS,2040,0
Need of heating only,SVN,STEPS,2040,0
Need of heating only,IDN,STEPS,2040,0
Need of heating only,ETH,STEPS,2040,0
Need of heating only,DEU,STEPS,2040,1
Need of heating only,NIU,STEPS,2040,0
Need of heating only,PAK,STEPS,2040,1
Need of heating only,PLW,STEPS,2040,0
Need of heating only,FRO,STEPS,2040,100
Need of heating only,LCA,STEPS,2040,0
Need of heating only,SDN,STEPS,2040,0
Need of heating only,SWE,STEPS,2040,95
Need of heating only,LTU,STEPS,2040,1
Need of heating only,LKA,STEPS,2040,0
Need of heating only,KGZ,STEPS,2040,41
Need of heating only,URY,STEPS,2040,0
Need of heating only,ZAF,STEPS,2040,0
Need of heating only,LVA,STEPS,2040,27
Need of heating only,TKL,STEPS,2040,0
Need of heating only,NAM,STEPS,2040,0
Need of heating only,LBY,STEPS,2040,0
Need of heating only,AUS,STEPS,2040,0
Need of heating only,SLE,STEPS,2040,0
Need of heating only,GNB,STEPS,2040,0
Need of heating only,ITA,STEPS,2040,2
Need of heating only,SAU,STEPS,2040,0
Need of heating only,TCA,STEPS,2040,0
Need of heating only,DJI,STEPS,2040,0
Need of heating only,HND,STEPS,2040,0
Need of heating only,BVT,STEPS,2040,0
Need of heating only,BFA,STEPS,2040,0
Need of heating only,SEN,STEPS,2040,0
Need of heating only,VCT,STEPS,2040,0
Need of heating only,CHE,STEPS,2040,20
Need of heating only,NRU,STEPS,2040,0
Need of heating only,TUV,STEPS,2040,0
Need of heating only,BLZ,STEPS,2040,0
Need of heating only,SLV,STEPS,2040,0
Need of heating only,SMR,STEPS,2040,0
Need of heating only,KWT,STEPS,2040,0
Need of heating only,IRQ,STEPS,2040,0
Need of heating only,AUT,STEPS,2040,17
Need of heating only,ATG,STEPS,2040,0
Need of heating only,VNM,STEPS,2040,0
Need of heating only,TZA,STEPS,2040,0
Need of heating only,DNK,STEPS,2040,50
Need of heating only,CPV,STEPS,2040,0
Need of heating only,GNQ,STEPS,2040,0
Need of heating only,COG,STEPS,2040,0
Need of heating only,LSO,STEPS,2040,6
Need of heating only,NPL,STEPS,2040,4
Need of heating only,ERI,STEPS,2040,0
Need of heating only,AND,STEPS,2040,100
Need of heating only,LIE,STEPS,2040,100
Need of heating only,PYF,STEPS,2040,0
Need of heating only,MDA,STEPS,2040,0
Need of heating only,TUR,STEPS,2040,2
Need of heating only,CRI,STEPS,2040,0
Need of heating only,CYP,STEPS,2040,0
Need of heating only,ABCD-PSE,STEPS,2040,0
Need of heating only,EST,STEPS,2040,100
Need of heating only,TLS,STEPS,2040,0
Need of heating only,SLB,STEPS,2040,0
Need of heating only,HTI,STEPS,2040,0
Need of heating only,MEX,STEPS,2040,0
Need of heating only,USA,STEPS,2040,1
Need of heating only,SXM,STEPS,2040,0
Need of heating only,ISR,STEPS,2040,0
Need of heating only,SOM,STEPS,2040,0
Need of heating only,BRB,STEPS,2040,0
Need of heating only,BEL,STEPS,2040,0
Need of heating only,UKR,STEPS,2040,1
Need of heating only,FSM,STEPS,2040,0
Need of heating only,MYT,STEPS,2040,0
Need of heating only,COM,STEPS,2040,0
Need of heating only,VEN,STEPS,2040,0
Need of heating only,TUN,STEPS,2040,0
Need of heating only,HUN,STEPS,2040,0
Need of heating only,SYR,STEPS,2040,0
Need of heating only,ESP,STEPS,2040,1
Need of heating only,THA,STEPS,2040,0
Need of heating only,BEN,STEPS,2040,0
Need of heating only,CHN,STEPS,2040,1
Need of heating only,CYM,STEPS,2040,0
Need of heating only,KAZ,STEPS,2040,10
Need of heating only,PRI,STEPS,2040,0
Need of heating only,BWA,STEPS,2040,0
Need of heating only,PRT,STEPS,2040,0
Need of heating only,KOR,STEPS,2040,0
Need of heating only,GRL,STEPS,2040,100
Need of heating only,abcde,STEPS,2040,0
Need of heating only,GGY,STEPS,2040,0
Need of heating only,BGD,STEPS,2040,0
Need of heating only,SGP,STEPS,2040,0
Need of heating only,BLM,STEPS,2040,0
Need of heating only,JEY,STEPS,2040,0
Need of heating only,TCD,STEPS,2040,0
Need of heating only,NFK,STEPS,2040,0
Need of heating only,ABCDE,STEPS,2040,100
Need of heating only,IND,STEPS,2040,0
Need of heating only,HMD,STEPS,2040,0
Need of heating only,GMB,STEPS,2040,0
Need of heating only,PAN,STEPS,2040,0
Need of heating only,EGY,STEPS,2040,0
Need of heating only,ABW,STEPS,2040,0
Need of heating only,NIC,STEPS,2040,0
Need of heating only,AGO,STEPS,2040,0
Need of heating only,BDI,STEPS,2040,0
Need of heating only,COD,STEPS,2040,0
Need of heating only,VGB,STEPS,2040,0
Need of heating only,BRA,STEPS,2040,0
Need of heating only,COK,STEPS,2040,0
Need of heating only,DZA,STEPS,2040,0
Need of heating only,QAT,STEPS,2040,0
Need of heating only,MKD,STEPS,2040,0
Need of heating only,BGR,STEPS,2040,1
Need of heating only,KIR,STEPS,2040,0
Need of heating only,CAN,STEPS,2040,37
Need of heating only,MYS,STEPS,2040,0
Need of heating only,LBR,STEPS,2040,0
Need of heating only,SGS,STEPS,2040,0
Need of heating only,TJK,STEPS,2040,19
Need of heating only,AFG,STEPS,2040,6
Need of heating only,CMR,STEPS,2040,0
Need of heating only,WSM,STEPS,2040,0
Need of heating only,REU,STEPS,2040,0
Need of heating only,ARE,STEPS,2040,0
Need of heating only,MDV,STEPS,2040,0
Need of heating only,GIN,STEPS,2040,0
Need of heating only,MWI,STEPS,2040,0
Need of heating only,PRY,STEPS,2040,0
Need of heating only,BHS,STEPS,2040,0
Need of heating only,GBR,STEPS,2040,64
Need of heating only,BMU,STEPS,2040,0
Need of heating only,MNP,STEPS,2040,0
Need of heating only,GUM,STEPS,2040,0
Need of heating only,UZB,STEPS,2040,2
Need of heating only,OMN,STEPS,2040,0
Need of heating only,GUF,STEPS,2040,0
Need of heating only,ATF,STEPS,2040,0
Need of heating only,SHN,STEPS,2040,0
Need of heating only,ARG,STEPS,2040,1
Need of heating only,BIH,STEPS,2040,0
Need of heating only,MOZ,STEPS,2040,0
Need of heating only,CHL,STEPS,2040,19
Need of heating only,MAR,STEPS,2040,0
Need of heating only,GTM,STEPS,2040,0
Need of heating only,IOT,STEPS,2040,0
Need of heating only,PHL,STEPS,2040,0
Need of heating only,PRK,STEPS,2040,5
Need of heating only,ZWE,STEPS,2040,0
Need of heating only,NGA,STEPS,2040,0
Need of heating only,MCO,STEPS,2040,0
Need of heating only,MNG,STEPS,2040,65
Need of heating only,KEN,STEPS,2040,0
Need of heating only,CUW,STEPS,2040,0
Need of heating only,GLP,STEPS,2040,0
Need of heating only,NOR,STEPS,2040,100
Need of heating only,MNE,STEPS,2040,22
Need of heating only,STP,STEPS,2040,0
Need of heating only,BOL,STEPS,2040,36
Need of heating only,BRN,STEPS,2040,0
Need of heating only,BHR,STEPS,2040,0
Need of heating only,CXR,STEPS,2040,0
Need of heating only,TKM,STEPS,2040,0
Need of heating only,MMR,STEPS,2040,0
