variable,ISO,region,scenario,year,value
Need of heating only,SPM,Saint Pierre and  Miquelon,0,2019,0.0
Need of heating only,CIV,C̫te d'Ivoire,0,2019,0.0
Need of heating only,MRT,Mauritania,0,2019,0.0
Need of heating only,LAO,Lao People's Democratic Republic,0,2019,0.0
Need of heating only,BLR,Belarus,0,2019,11.2
Need of heating only,ESH,Western Sahara,0,2019,0.0
Need of heating only,POL,Poland,0,2019,3.7
Need of heating only,LUX,Luxembourg,0,2019,26.1
Need of heating only,IRN,Iran,0,2019,0.4
Need of heating only,SRB,Serbia,0,2019,0.0
Need of heating only,PNG,Papua New Guinea,0,2019,0.0
Need of heating only,DOM,Dominican Republic,0,2019,0.0
Need of heating only,WLF,Wallis and Futuna,SDS,2040,0.0
Need of heating only,MSR,Montserrat,SDS,2040,0.0
Need of heating only,MLI,Mali,SDS,2040,0.0
Need of heating only,CUB,Cuba,SDS,2040,0.0
Need of heating only,TGO,Togo,SDS,2040,0.0
Need of heating only,UMI,United States Minor Outlying Islands,SDS,2040,0.0
Need of heating only,BTN,Bhutan,SDS,2040,12.0
Need of heating only,XKX,Kosovo,SDS,2040,0.0
Need of heating only,NCL,New Caledonia,SDS,2040,0.0
Need of heating only,BES,Sint Maarten,SDS,2040,0.0
Need of heating only,JOR,Jordan,SDS,2040,0.0
Need of heating only,VIR,United States Virgin Islands,SDS,2040,0.0
Need of heating only,ZMB,Zambia,SDS,2040,0.0
Need of heating only,GUY,Guyana,SDS,2040,0.0
Need of heating only,KNA,Saint Kitts and Nevis,SDS,2040,0.0
Need of heating only,SVK,Slovak Republic,SDS,2040,10.4
Need of heating only,GAB,Gabon,SDS,2040,0.0
Need of heating only,GRC,Greece,SDS,2040,0.0
Need of heating only,GHA,Ghana,SDS,2040,0.0
Need of heating only,JPN,Japan,SDS,2040,0.6
Need of heating only,MDG,Madagascar,SDS,2040,0.0
Need of heating only,NER,Niger,SDS,2040,0.0
Need of heating only,DMA,Dominica,SDS,2040,0.0
Need of heating only,JAM,Jamaica,SDS,2040,0.0
Need of heating only,KHM,Cambodia,SDS,2040,0.0
Need of heating only,LBN,Lebanon,SDS,2040,0.0
Need of heating only,CZE,Czech Republic,SDS,2040,1.8
Need of heating only,GRD,Grenada,SDS,2040,0.0
Need of heating only,TON,Tonga,SDS,2040,0.0
Need of heating only,MUS,Mauritius,SDS,2040,0.0
Need of heating only,MAF,Saint Martin,SDS,2040,0.0
Need of heating only,ABCD,ABCD,SDS,2040,0.0
Need of heating only,HRV,Croatia,SDS,2040,0.0
Need of heating only,SVN,Slovenia,SDS,2040,0.0
Need of heating only,IDN,Indonesia,SDS,2040,0.0
Need of heating only,ETH,Ethiopia,SDS,2040,0.0
Need of heating only,DEU,Germany,SDS,2040,2.3
Need of heating only,NIU,Niue,SDS,2040,0.0
Need of heating only,PAK,Pakistan,SDS,2040,1.1
Need of heating only,PLW,Palau,SDS,2040,0.0
Need of heating only,FRO,Faroe Islands,SDS,2040,100.0
Need of heating only,LCA,Saint Lucia,SDS,2040,0.0
Need of heating only,SDN,Sudan,SDS,2040,0.0
Need of heating only,SWE,Sweden,SDS,2040,100.0
Need of heating only,LTU,Lithuania,SDS,2040,9.7
Need of heating only,LKA,Sri Lanka,SDS,2040,0.0
Need of heating only,KGZ,Kyrgyzstan,SDS,2040,41.3
Need of heating only,URY,Uruguay,SDS,2040,0.0
Need of heating only,ZAF,South Africa,SDS,2040,0.0
Need of heating only,LVA,Latvia,SDS,2040,59.5
Need of heating only,TKL,Tokelau,SDS,2040,0.0
Need of heating only,NAM,Namibia,SDS,2040,0.0
Need of heating only,LBY,Libya,SDS,2040,0.0
Need of heating only,AUS,Australia,SDS,2040,0.6
Need of heating only,SLE,Sierra Leone,SDS,2040,0.0
Need of heating only,GNB,Guinea-Bissau,SDS,2040,0.0
Need of heating only,ITA,Italy,SDS,2040,2.5
Need of heating only,SAU,Saudi Arabia,SDS,2040,0.0
Need of heating only,TCA,Turks and Caicos Islands,SDS,2040,0.0
Need of heating only,DJI,Djibouti,SDS,2040,0.0
Need of heating only,HND,Honduras,SDS,2040,0.0
Need of heating only,BVT,Bouvet Island,SDS,2040,0.0
Need of heating only,BFA,Burkina Faso,SDS,2040,0.0
Need of heating only,SEN,Senegal,SDS,2040,0.0
Need of heating only,VCT,Saint Vincent and the Grenadines,SDS,2040,0.0
Need of heating only,CHE,Switzerland,SDS,2040,24.0
Need of heating only,NRU,Nauru,SDS,2040,0.0
Need of heating only,TUV,Tuvalu,SDS,2040,0.0
Need of heating only,BLZ,Belize,SDS,2040,0.0
Need of heating only,SLV,El Salvador,SDS,2040,0.0
Need of heating only,SMR,San Marino,SDS,2040,0.0
Need of heating only,KWT,Kuwait,SDS,2040,0.0
Need of heating only,IRQ,Iraq,SDS,2040,0.0
Need of heating only,AUT,Austria,SDS,2040,17.9
Need of heating only,ATG,Antigua and Barbuda,SDS,2040,0.0
Need of heating only,VNM,Viet Nam,SDS,2040,0.0
Need of heating only,TZA,Tanzania,SDS,2040,0.0
Need of heating only,DNK,Denmark,SDS,2040,97.9
Need of heating only,CPV,Cabo Verde,SDS,2040,0.0
Need of heating only,GNQ,Equatorial Guinea,SDS,2040,0.0
Need of heating only,COG,Congo,SDS,2040,0.0
Need of heating only,LSO,Lesotho,SDS,2040,9.0
Need of heating only,NPL,Nepal,SDS,2040,4.3
Need of heating only,ERI,Eritrea,SDS,2040,0.0
Need of heating only,AND,Andorra,SDS,2040,100.0
Need of heating only,LIE,Liechtenstein,SDS,2040,100.0
Need of heating only,PYF,French Polynesia,SDS,2040,0.0
Need of heating only,MDA,Moldova,SDS,2040,0.0
Need of heating only,TUR,Turkey,SDS,2040,2.2
Need of heating only,CRI,Costa Rica,SDS,2040,0.0
Need of heating only,CYP,Cyprus,SDS,2040,0.0
Need of heating only,ABCD-PSE,West Bank and Gaza Strip,SDS,2040,0.0
Need of heating only,EST,Estonia,SDS,2040,100.0
Need of heating only,TLS,Timor-Leste,SDS,2040,0.0
Need of heating only,SLB,Solomon Islands,SDS,2040,0.0
Need of heating only,HTI,Haiti,SDS,2040,0.0
Need of heating only,MEX,Mexico,SDS,2040,0.0
Need of heating only,USA,United States,SDS,2040,1.4
Need of heating only,SXM,Sint Maarten,SDS,2040,0.0
Need of heating only,ISR,Israel,SDS,2040,0.0
Need of heating only,SOM,Somalia,SDS,2040,0.0
Need of heating only,BRB,Barbados,SDS,2040,0.0
Need of heating only,BEL,Belgium,SDS,2040,0.5
Need of heating only,UKR,Ukraine,SDS,2040,0.8
Need of heating only,FSM,Micronesia,SDS,2040,0.0
Need of heating only,MYT,Mayotte,SDS,2040,0.0
Need of heating only,COM,Comoros,SDS,2040,0.0
Need of heating only,VEN,Venezuela,SDS,2040,0.0
Need of heating only,TUN,Tunisia,SDS,2040,0.0
Need of heating only,HUN,Hungary,SDS,2040,0.0
Need of heating only,SYR,Syrian Arab Republic,SDS,2040,0.0
Need of heating only,ESP,Spain,SDS,2040,0.6
Need of heating only,THA,Thailand,SDS,2040,0.0
Need of heating only,BEN,Benin,SDS,2040,0.0
Need of heating only,CHN,Hong Kong (China),SDS,2040,0.0
Need of heating only,CYM,Cayman Islands,SDS,2040,0.0
Need of heating only,KAZ,Kazakhstan,SDS,2040,11.7
Need of heating only,PRI,Puerto Rico,SDS,2040,0.0
Need of heating only,BWA,Botswana,SDS,2040,0.0
Need of heating only,PRT,Portugal,SDS,2040,0.0
Need of heating only,KOR,Korea,SDS,2040,0.0
Need of heating only,GRL,Greenland,SDS,2040,100.0
Need of heating only,CHN,Chinese Taipei,SDS,2040,0.0
Need of heating only,GGY,Guernsey,SDS,2040,0.0
Need of heating only,BGD,Bangladesh,SDS,2040,0.0
Need of heating only,SGP,Singapore,SDS,2040,0.0
Need of heating only,BLM,Saint Barth̩lemy,SDS,2040,0.0
Need of heating only,JEY,Jersey,SDS,2040,0.0
Need of heating only,TCD,Chad,SDS,2040,0.0
Need of heating only,NFK,Norfolk Island,SDS,2040,0.0
Need of heating only,ABCDE,Japan-Russia,SDS,2040,100.0
Need of heating only,CHN,Macau (China),SDS,2040,0.0
Need of heating only,HMD,Heard Island and McDonald Islands,SDS,2040,0.0
Need of heating only,GMB,Gambia,SDS,2040,0.0
Need of heating only,PAN,Panama,SDS,2040,0.0
Need of heating only,EGY,Egypt,SDS,2040,0.0
Need of heating only,ABW,Aruba,SDS,2040,0.0
Need of heating only,NIC,Nicaragua,SDS,2040,0.0
Need of heating only,AGO,Angola,SDS,2040,0.0
Need of heating only,BDI,Burundi,SDS,2040,0.0
Need of heating only,COD,Democratic Republic of the Congo,SDS,2040,0.0
Need of heating only,VGB,British Virgin Islands,SDS,2040,0.0
Need of heating only,BRA,Brazil,SDS,2040,0.0
Need of heating only,COK,Cook Islands,SDS,2040,0.0
Need of heating only,DZA,Algeria,SDS,2040,0.0
Need of heating only,QAT,Qatar,SDS,2040,0.0
Need of heating only,MKD,North Macedonia,SDS,2040,0.0
Need of heating only,BGR,Bulgaria,SDS,2040,0.7
Need of heating only,KIR,Kiribati,SDS,2040,0.0
Need of heating only,CAN,Canada,SDS,2040,41.4
Need of heating only,MYS,Malaysia,SDS,2040,0.0
Need of heating only,LBR,Liberia,SDS,2040,0.0
Need of heating only,SGS,South Georgia and the South Sandwich Isla,SDS,2040,0.0
Need of heating only,TJK,Tajikistan,SDS,2040,18.7
Need of heating only,AFG,Afghanistan,SDS,2040,7.4
Need of heating only,CMR,Cameroon,SDS,2040,0.0
Need of heating only,WSM,Samoa,SDS,2040,0.0
Need of heating only,REU,R̩union,SDS,2040,0.0
Need of heating only,ARE,United Arab Emirates,SDS,2040,0.0
Need of heating only,MDV,Maldives,SDS,2040,0.0
Need of heating only,GIN,Guinea,SDS,2040,0.0
Need of heating only,MWI,Malawi,SDS,2040,0.0
Need of heating only,PRY,Paraguay,SDS,2040,0.0
Need of heating only,BHS,Bahamas,SDS,2040,0.0
Need of heating only,GBR,United Kingdom,SDS,2040,71.1
Need of heating only,BMU,Bermuda,SDS,2040,0.0
Need of heating only,MNP,Northern Mariana Islands,SDS,2040,0.0
Need of heating only,GUM,Guam,SDS,2040,0.0
Need of heating only,UZB,Uzbekistan,SDS,2040,1.5
Need of heating only,OMN,Oman,SDS,2040,0.0
Need of heating only,GUF,French Guiana,SDS,2040,0.0
Need of heating only,ATF,French Southern and Antarctic Lands,SDS,2040,0.0
Need of heating only,SHN,Saint Helena,SDS,2040,0.0
Need of heating only,ARG,Argentina,SDS,2040,1.4
Need of heating only,BIH,Bosnia and Herzegovina,SDS,2040,0.0
Need of heating only,MOZ,Mozambique,SDS,2040,0.0
Need of heating only,CHL,Chile,SDS,2040,20.6
Need of heating only,MAR,Morocco,SDS,2040,0.0
Need of heating only,GTM,Guatemala,SDS,2040,0.0
Need of heating only,IOT,British Indian Ocean Territory,SDS,2040,0.0
Need of heating only,PHL,Philippines,SDS,2040,0.0
Need of heating only,PRK,Democratic People's Republic of Korea,SDS,2040,5.4
Need of heating only,ZWE,Zimbabwe,SDS,2040,0.0
Need of heating only,NGA,Nigeria,SDS,2040,0.0
Need of heating only,MCO,Monaco,SDS,2040,0.0
Need of heating only,MNG,Mongolia,SDS,2040,69.3
Need of heating only,KEN,Kenya,SDS,2040,0.0
