country,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Croatia,873321.2,827259.8,679902.3,748394.8,450327.72,649584.1,566896.75,546702.56,564400.94,530495.56,310559.22,278824.28,409141.44,421008,852497.06,999234.1,979938.06,810241.6,849503.75,1032680.5,1051036,990036.7,499222,819088.25,986997.8,866776.8,706953.9,817982.8,475640.53,464586.28
Cuba,941063.6,925566.44,1001266.1,956664.6,858555.6,921622.06,930984.8,965497.8,836380.1,750293.7,910268.3,945006.2,952903.1,943401.25,873383.5,1019968.06,969235.44,1022385,905887.56,905249.56,913352.2,973908.75,1043050.75,1050161.8,1013505.56,994953.7,933073.4,929557.1,975898.5,1002488.3
Curacao,1007292.5,991086.2,975219,1002849.7,1076060.1,989286,1049548.5,1019214.8,1013012.8,1068496,1065694.9,996598.5,977216,1000146.8,975142.3,1007369.06,1056795.4,962114.7,949139.25,824568.2,1012766.56,878128.25,962724.8,867685.94,789611.2,1023496.06,990394,1107526.5,1093361.1,1041264.7
Cyprus,787183.94,772806.1,852751.7,819347.4,853342.7,429706.47,762474.4,966084.56,745960.7,853084.4,811271.4,1019835.94,916139.56,1050532.8,596241.2,697686.7,935629.44,1009150.25,946748.56,978854.94,1092398.4,1097556.6,1099608.8,1076958.8,908449.56,987569.7,980255.8,1100736.4,1111188.6,1115277.2
Czech Republic,760414.1,769369.7,730822.1,772922.6,651568.3,585769.3,480122.16,609574.7,683626.25,619220.5,508768.53,451208.53,445339.78,404592.94,943298.1,953939.1,727885.2,845137.8,974181.44,986554.6,984374.56,958498.2,623887.1,773145.25,984341.94,833709.1,488056.1,547281.2,164227.06,650017.1
Democratic People's Republic of Korea,841464.6,868064.4,988042.8,921412.4,953636.25,782991.9,976411.5,960141,590128.8,506331.03,850966.9,947596.9,878405.06,646995.1,1032048.8,975728.6,969237.75,729256.7,962040.94,453928.4,946857.44,959804.8,840573,701311.6,225050.55,660682.75,1020227.1,858172,783728.8,763927.8
Democratic Republic of the Congo,925511.8,859228.75,947918.2,935878.9,899593.56,866657.25,657475.06,760225.3,853703.5,653018.9,794156.1,840347.2,747125.94,798957.94,761646.25,875163,876585.9,952850.4,825882.1,819743.6,776891.44,713294.6,904682,947069.25,844492,623137.1,877810.56,907429.06,743769.44,657843.06
Denmark,657315.9,709706.4,423851,609911,659770.2,643483,731447.8,695155,804474.56,603959.9,645460.6,737032.9,731928.2,722378.56,848725.3,774623.9,890419.56,902041.8,916089.56,924938.06,934457,933557.44,950483.4,644977,720891.3,645651.5,489094.06,573221.3,916633.25,848909.94
Djibouti,1042556.25,1045213.7,969586.1,953663.2,704071.94,1033318.7,1108585,1101150.5,1063685.1,1028188.56,903082,1056278.8,1039137.56,990263.75,917952.56,918913.8,950640.4,925873,979715.7,1007507.3,1032295.7,1016741.8,1059827.8,951164.4,1076624.5,1105707,1063249.9,1058299.1,1070011,1080998
Dominica,1078366.5,1000804.06,944762.94,995574.3,951552.1,1098623.2,989369.3,985514.25,1021920.4,975055.7,977756.6,1036255.6,1031797.94,1074049.8,1044708.8,1130880.1,992821.8,991156.2,1116254.9,1128990,1099299,980287.3,1004512.9,1004035.8,941993.56,912700.44,966442.7,980487.2,952635.94,854427.5
Dominican Republic,921882.8,833232.75,911017.7,936847.94,970506.06,849682.4,914342.4,892349.4,938797.44,931335.6,945751.6,870562.7,917947.8,909077.8,905073.06,961092.44,983315.94,985848.2,1033628.8,914768.9,932346.8,889269.25,774769.25,931698.4,1010105.6,946560.9,791517.4,919193.75,827271.9,886232.8
Ecuador,683282,700403.06,502240.84,784570.9,778193.1,666925.8,671012.75,690355.7,894990.94,887514.6,818937.1,652683.9,652206.1,834033.9,652744.2,733528.3,684106.5,693732.4,501215.22,654347.56,571612.6,764591.75,674336.9,458699.22,596762,785760.75,547053.3,614576.06,541215.25,638788.6
Egypt,1057226.4,1071851.8,1085898.6,1063596.5,1051451.9,904032.4,992289.25,920491.56,1059156.4,1120848.5,1143642.2,1158392.4,1148056.8,1036057.75,678917.2,1123939,1126522.4,1148362.6,1152077.8,1156826.6,1173257.1,1185120.1,1189223.6,1169996.4,1167399.5,1178473.5,1188586.8,1196410.6,1153914.9,1167380
El Salvador,1033971.44,1024501.94,884534.8,930225.8,829410.3,878035.94,908942,899945.56,851114.9,943783.8,936364.7,1050718.4,1006518.44,1101721.9,963937.06,977446.94,881752.6,818176.56,815550.9,980626.56,1065782.8,980673.2,881115.9,812976.5,873912.4,787226.4,1132729.1,1084056.2,1027830.2,910373.5
Equatorial Guinea,829091.9,646555.1,937255.3,733151.94,391852,808132.25,853173.44,951230.06,950653.1,850943.4,584731.25,824367.3,726932,607542.3,882222.4,771732.5,810635.7,427931.2,744564.8,412808.28,815196.4,764180.6,788311,539952.2,683112.9,762573.6,802826.44,753699.44,578082.1,674588.8
Eritrea,1011577.6,1057096.5,1066811,1100599.8,1094699.2,1049572.6,1069792.4,1073837.8,1054275.1,1082433.6,1020984.56,1043158.7,1099869.2,1119192.2,1066535.8,1067403.4,1027193.3,980405.9,994055,1056499.1,1087590.2,1120796.8,1103899.1,1088030.6,1041787.25,1041457.44,991464.5,1057020.4,1045551.5,1063805.4
