LATITUDE;LONGITUDE;SECTOR;value
49.8328;9.1511;Chemicals;0
51.8272;9.4696;Chemicals;0
51.5249;6.8024;Chemicals;0
52.6681;7.203;Chemicals;0
51.8272;9.4696;Chemicals;0
48.9183;11.8772;Chemicals;0
52.4215;9.6875;Chemicals;0
49.0056;9.1367;Chemicals;0
53.5187;9.9529;Chemicals;0
49.33;4.14;Chemicals;0
53.9106;9.2079;Chemicals;0
53.6325;9.5073;Chemicals;0
51.4739;6.7904;Chemicals;0
49.52;2.91;Chemicals;0
49.52;2.91;Chemicals;0
52.6221;8.8877;Chemicals;0
53.6226;8.0744;Chemicals;0
53.5682;8.1247;Chemicals;0
49.29;2.51;Chemicals;0
49.85;2.66;Chemicals;0
47.5503;7.6543;Chemicals;0
48.2398;10.0906;Chemicals;0
53.5305;8.547;Chemicals;0
48.4411;10.8858;Chemicals;0
52.4873;7.3155;Chemicals;0
51.4977;6.76;Chemicals;0
49.39;2.96;Chemicals;0
45.12;3.52;Chemicals;0
51.527;6.7998;Chemicals;0
48.61;6.36;Chemicals;0
45.7;4.85;Chemicals;0
51.5569;6.5689;Chemicals;0
51.3199;6.5818;Chemicals;0
44.8061;4.7889;Chemicals;0
51.4651;7.0322;Chemicals;0
47.8816;11.4758;Chemicals;0
49.5;0.53;Chemicals;0
49.61;3.21;Chemicals;0
48.4133;10.275;Chemicals;0
45.37;4.81;Chemicals;0
45.49;6.56;Chemicals;0
49.3426;17.3047;Chemicals;0
45.7083;4.8278;Chemicals;0
51.4425;6.6973;Chemicals;0
49.49;0.13;Chemicals;0
49.48;0.57;Chemicals;0
49.5;0.53;Chemicals;0
48.52;4.1;Chemicals;0
49.51;0.19;Chemicals;0
50.0952;8.5259;Chemicals;0
45.58;4.81;Chemicals;0
51.3777;6.6629;Chemicals;0
49.82;3.28;Chemicals;0
45.39;4.77;Chemicals;0
46.8;3.46;Chemicals;0
49.48;0.57;Chemicals;0
45.98;4.73;Chemicals;0
45.6;5.27;Chemicals;0
50.093;8.5906;Chemicals;0
49.28;2.49;Chemicals;0
49.7;3.98;Chemicals;0
45.7;4.85;Chemicals;0
53.1761;9.664;Chemicals;0
49.11;0.7;Chemicals;0
45.37;4.81;Chemicals;0
50.9431;6.6663;Chemicals;0
