YEAR;FACILITY_NAME;GHGRP_ID;ADDRESS;LATITUDE;LONGITUDE;CITY;COUNTY;STATE;ZIP_CODE;PARENT_CO;SUBPARTS;NUM_SECTORS;TOTAL_REPORTED_CO2_tCO2;POWER;REFINING;IRON STEEL;CHEMICALS;CEMENT;TOTAL_CO2_tCO2
2017;Harbor Generating Station;1001455;161 N ISLAND AVE;33.7691;-118.2662;WILMINGTON;Los Angeles;CA;90744;CITY OF LOS ANGELES DEPARTMENT OF WATER & POWER (100%);D;1;50716;50716;0;0;0;0;50716
2017;Hardee Power Station;1001254;6695 COUNTY ROAD 663 N;27.6364;-81.9636;BOWLING GREEN;Hardee;FL;33834;INVENERGY LLC (51%);;;;;;;;;
2017;Hardin County Peaking Facility;1000530;7 MI SOUTHEAST OF KOUNTZE;30.3039;-94.2527;KOUNTZE;Hardin;TX;77625;EAST TEXAS ELECTRIC COOPERATIVE INC (100%);C,D;1;49685;49685;0;0;0;0;49685
2017;Hardin Generating Station;1000157;RT 1 BX 1144A SUGAR FACTORY RD;45.7578;-107.6;HARDIN;Big Horn;MT;59034;HEOROT POWER HOLDINGS LLC (100%);C,D;1;154735;154735;0;0;0;0;154735
2017;Harding Street Station (EW Stout);1001533;3700 SOUTH HARDING ST;39.7119;-86.1975;INDIANAPOLIS;Marion;IN;46217;AES CORP (100%);C,D;1;742429;742429;0;0;0;0;742429
2017;Harlem River Yard;1000116;680 780E 132ND ST;40.7989;-73.9147;BRONX;Bronx;NY;10454;NEW YORK POWER AUTHORITY (100%);C,D;1;13838;13838;0;0;0;0;13838
2017;Harrington Station;1001042;8400 N LAKESIDE DR;35.2972;-101.7475;AMARILLO;Potter;TX;79108;XCEL ENERGY (100%);D;1;4674135;4674135;0;0;0;0;4674135
2017;Harrison County Power Project;1000145;12039 SH 43 SOUTH;32.3958;-94.4361;MARSHALL;Harrison;TX;75670;NORTHEAST TEXAS ELECTRIC COOPERATIVE (55%);;;;;;;;;
2017;Harrison Power Station;1007793;ROUTE 20;39.3844;-80.3325;HAYWOOD;Harrison;WV;26366;FIRSTENERGY GENERATION CORP (100%);C,D;1;12258100;12258100;0;0;0;0;12258100
2017;Harry Allen;1006804;14601 NORTH LAS VEGAS BLVD;36.425;-114.9;LAS VEGAS;Clark;NV;89124;NV ENERGY (100%);D;1;1302195;1302195;0;0;0;0;1302195
2017;Harry D. Mattison Power Plant;1000487;3046 West Liberty Avenue;36.1855;-94.2841;TONTITOWN;Washington;AR;72762;AMERICAN ELECTRIC POWER (100%);D;1;34594;34594;0;0;0;0;34594
