SECTOR;value;LATITUDE;LONGITUDE
Cement;0.35102;28.9026;111.4889
Cement;1.35009;40.9906;113.124
Cement;0.35102;46.7228;122.8999
Cement;0.35102;41.9272;118.7027
Cement;0.35102;39.5983;109.7869
Cement;0.21151;43.617;118.0558
Cement;0.95406;40.7936;111.5639
Cement;0.63004;39.9089;111.5639
Cement;0.84155;39.441;106.8916
Cement;0.84155;39.0899;107.9776
Cement;0.21151;49.2856;120.7117
Cement;1.23758;48.1258;123.4594
Cement;0.70205;39.6918;106.8226
Cement;0.35102;40.193;111.8069
Cement;0.35102;39.692;106.8281
Cement;0.16651;31.4159;119.4846
Cement;0.70205;32.1953;119.4122
Cement;0.35102;31.9448;119.1686
Cement;1.05307;31.3513;119.3318
Cement;0.35102;31.3404;119.8235
Cement;0.70205;31.5285;120.2843
Cement;0.35102;31.491;120.3124
Cement;1.40409;31.4431;117.4535
Cement;0.35102;31.0381;120.8492
Cement;0.61654;31.3275;118.8921
Cement;0.35102;31.9448;119.1686
Cement;1.05307;31.3404;119.8235
Cement;13.8519;31.4159;119.4846
Cement;0.45003;32.867;120.3205
Cement;0.63004;31.651;119.0284
Cement;0.35102;31.6996;119.8128
Cement;0.21151;32.5907;119.4001
Cement;1.40409;32.2089;120.0054
Cement;0.70205;31.4159;119.4846
Cement;1.05307;31.3404;119.8235
Cement;4.77931;31.9448;119.1686
Cement;0.70205;31.3407;119.8264
Cement;0.27902;31.3407;119.8264
Cement;0.21151;36.7363;103.2605
Cement;0.70205;28.9617;117.129
Cement;1.05307;28.6819;118.2448
Cement;0.63004;28.217;114.9507
Cement;0.35102;27.6306;114.0296
Cement;0.51753;25.9518;115.4154
Cement;0.67504;25.8019;115.4954
Cement;0.21151;27.3928;114.6196
Cement;0.49053;28.2925;117.2453
Cement;0.35102;28.1592;115.7712
Cement;0.35102;29.6907;116.0097
Cement;0.77405;25.3862;114.9228
Cement;0.56254;26.7899;114.9089
Cement;0.16651;28.4373;118.2002
Cement;0.84155;25.3862;114.9228
Cement;0.70205;28.6819;118.2448
Cement;4.77931;28.6947;117.0584
Cement;1.40409;25.8856;116.0271
Cement;0.56254;25.9518;115.4154
Cement;0.42303;27.8148;114.6919
Cement;0.70205;29.7394;116.2202
Cement;1.35009;29.7278;115.99
Cement;0.35102;27.6987;113.8297
Cement;0.91356;26.3392;115.3595
Cement;1.40409;28.3875;115.2454
Cement;0.35102;43.0976;124.7085
Cement;1.40409;42.8881;125.1437
Cement;1.12507;43.3128;129.7713
Cement;2.80818;43.8408;126.5482
Cement;0.18001;43.3072;124.3356
Cement;5.06283;43.525;125.6646
Cement;0.70205;43.3449;125.3054
Cement;1.40409;42.9466;126.0605
Cement;1.26458;42.968;129.8439
Cement;0.35102;41.7742;126.0426
Cement;0.13951;42.5808;126.7028
Cement;0.35102;43.1665;124.3504
Cement;0.56254;41.3678;120.2959
Cement;0.21151;41.5742;120.4309
Cement;0.70205;39.0502;121.7826
Cement;0.16651;39.6264;121.98
Cement;0.56254;39.3944;121.9632
Cement;0.35102;40.4528;124.0661
Cement;0.27902;41.8593;123.8742
Cement;0.21151;41.6939;122.1207
Cement;0.35102;41.4262;123.3393
Cement;0.70205;41.1501;123.0295
Cement;0.56254;41.2979;121.4586
Cement;0.78755;39.5278;122.0297
Cement;0.49053;42.5225;124.1372
Cement;0.56254;41.4509;123.2951
Cement;0.70205;41.804;124.1906
Cement;1.40409;42.5064;124.4099
Cement;1.40409;41.7177;123.5759
Cement;0.84155;41.2395;123.354
Cement;0.70205;39.6264;121.98
Cement;2.80818;41.2213;123.6834
Cement;0.70205;41.2678;123.237
Cement;5.20234;39.5692;121.4177
Cement;0.16651;39.6261;121.9774
Cement;0.045;36.0392;106.2092
Cement;0.70205;38.833;106.2681
Cement;1.12507;38.04;106.1411
Cement;0.35102;37.821;106.1477
Cement;0.13951;35.8395;106.5519
Cement;0.045;38.929;106.594
Cement;0.09001;38.7921;106.4079
Cement;0.21151;38.4708;106.4255
Cement;1.26458;37.7148;106.1068
Cement;0.35102;37.7148;106.1068
Cement;0.45003;39.0415;106.6223
Cement;0.0585;37.0374;106.3836
Cement;0.31502;38.0367;106.141
Cement;0.13951;38.174;106.5668
Cement;0.13951;38.833;106.2681
Cement;2.25015;38.833;106.2681
Cement;0.0405;36.04;101.4336
Cement;0.35102;36.5341;103.3858
Cement;0.42303;37.5526;102.1485
Cement;0.054;37.5526;102.1485
Cement;0.09001;37.5251;102.2391
Cement;0.18001;37.6263;97.6024
Cement;0.20251;36.8058;102.6715
Cement;0.27902;37.5251;102.2391
Cement;0.09001;36.8058;102.6715
Cement;0.42303;36.5009;101.5716
Cement;0.045;33.1567;107.3337
Cement;0.0405;33.9123;106.522
Cement;0.045;34.5211;107.4008
Cement;0.08101;34.3753;107.9002
Cement;0.09001;32.9993;106.9362
Cement;0.0675;32.8931;108.5087
Cement;0.0495;35.2375;110.1493
Cement;0.63004;34.5211;107.4008
Cement;1.93513;34.5271;108.8426
Cement;1.93513;34.3753;107.9002
Cement;0.045;34.3848;109.5618
Cement;0.11251;33.1188;107.0546
Cement;0.045;34.4614;108.2609
Cement;0.13501;32.6584;109.605
Cement;0.045;35.1508;109.8269
Cement;0.045;35.6388;110.2528
Cement;0.036;35.5977;109.9846
Cement;0.13951;35.6689;110.4397
Cement;0.054;35.0739;107.2233
Cement;0.045;35.2521;107.0382
Cement;0.63004;34.5959;107.654
Cement;0.16651;35.5349;109.6433
Cement;0.045;34.87;107.6687
Cement;0.072;35.4918;107.4453
Cement;0.63004;35.5349;109.6434
Cement;0.09001;33.2601;107.1254
Cement;0.045;35.5977;109.9846
Cement;0.045;33.2685;107.5603
Cement;0.42303;34.4614;108.2609
Cement;0.22501;34.7429;108.0361
Cement;0.27002;35.1254;109.1331
Cement;0.21151;35.5349;109.6434
