LATITUDE;LONGITUDE;SECTOR;value
33.0163;-79.9285;Power;2.325304
29.9861;-90.4575;Power;2.323455
33.6314;-95.589;Power;2.320059
42.3022;-96.3622;Power;2.317338
41.1889715;-76.8951551;Power;2.314941
42.3251;-96.3797;Power;2.314566
40.7825;-73.8964;Power;2.309409
37.8667;-78.3813;Power;2.285815
39.5314;-81.7172;Power;2.279341
45.3047;-96.5103;Power;2.257179
29.6237;-98.1395;Power;2.1757
37.91;-87.3267;Power;2.165757
37.9053;-87.715;Power;2.155623
35.6853;-97.2242;Power;2.149452
32.3592;-81.1236;Power;2.136591
30.0242;-93.875;Power;2.129582
37.6206;-88.955;Power;2.119923
41.7693656;-76.4794435;Power;2.111689
34.8358;-89.2017;Power;2.10854
31.8907;-96.1128;Power;2.106557
35.1929;-94.6469;Power;2.099141
28.0809;-81.9256;Power;2.098139
40.6175;-75.3147;Power;2.096995
18.4275;-66.1052;Power;2.08793
40.8611;-105.0206;Power;2.077479
39.8083;-75.4225;Power;2.074419
40.7281;-73.9742;Power;2.056847
40.4481;-74.3497;Power;2.054032
43.3842;-87.8689;Power;2.022957
41.3297;-95.9458;Power;2.015615
32.0306;-93.5692;Power;2.012458
36.3767;-82.9639;Power;2.009739
42.3833;-87.8133;Power;2.006567
37.1519;-93.3892;Power;2.003854
21.356648;-158.127993;Power;1.999212
42.1236;-83.1811;Power;1.998014
37.8181;-77.4478;Power;1.995782
32.6503;-86.7386;Power;1.992904
32.3814;-86.5736;Power;1.986547
25.4356;-80.3308;Power;1.98311
30.4903;-91.1875;Power;1.978426
42.5905;-73.7636;Power;1.977666
33.3451;-112.8638;Power;1.962699
40.6225;-74.2097;Power;1.949674
40.3509;-76.3658;Power;1.949377
39.8725;-77.1672;Power;1.949299
35.9833;-95.9346;Power;1.948613
37.7958;-87.0597;Power;1.945504
29.8169;-95.1086;Power;1.944292
41.8736;-71.8947;Power;1.943398
33.3642;-81.03;Power;1.937661
29.7189;-95.2319;Power;1.936044
35.7133;-80.3767;Power;1.91483
41.6433;-87.1225;Power;1.9111
40.4663;-89.9841;Power;1.902297
30.4284;-92.4112;Power;1.879715
36.4862;-79.7208;Power;1.874344
30.2861;-93.2917;Power;1.867252
44.3026;-91.9126;Power;1.812029
39.83731;-75.22458;Power;1.809539
31.8378;-102.3278;Power;1.806935
29.7731;-94.9019;Power;1.806299
34.2824;-77.9864;Power;1.800763
32.0619;-109.8931;Power;1.792151
33.33;-112.84;Power;1.790139
46.5789;-87.395;Power;1.788933
41.3017;-89.3136;Power;1.780209
37.7889;-84.7139;Power;1.761897
36.0119;-95.6967;Power;1.759328
31.8594;-97.3586;Power;1.736748
40.51039;-74.33105;Power;1.736397
30.6167;-96.0778;Power;1.728304
34.0825;-99.1753;Power;1.723522
42.2417;-70.9653;Power;1.72151
36.8791;-89.6209;Power;1.709879
45.6933;-119.8056;Power;1.700984
33.6464;-88.2717;Power;1.694223
43.495;-76.4508;Power;1.671907
28.1844;-82.7887;Power;1.664541
39.5625;-119.525;Power;1.660581
31.4001;-86.4767;Power;1.655476
34.6397;-87.0639;Power;1.646586
39.8622;-75.3361;Power;1.644566
35.7325;-80.6019;Power;1.630487
34.0836;-117.2408;Power;1.627426
40.4219;-75.9353;Power;1.60461
30.2689;-85.7003;Power;1.587682
39.5798;-81.6571;Power;1.580136
31.4858;-87.9106;Power;1.571197
39.7436;-75.5072;Power;1.569009
39.8592;-79.9182;Power;1.568753
40.7585;-73.9451;Power;1.556627
36.5278;-78.8917;Power;1.548812
29.7233;-95.1769;Power;1.54353
33.3333;-111.751;Power;1.541416
41.5526;-72.597;Power;1.541183
40.708795;-74.128275;Power;1.540184
33.2881;-89.4201;Power;1.535746
26.0681;-80.1983;Power;1.528312
30.3206;-81.9486;Power;1.528097
32.7056;-92.0697;Power;1.521813
39.1778;-94.1861;Power;1.517994
43.5592;-91.2333;Power;1.511737
34.9556;-118.844;Power;1.495368
42.2728;-73.8492;Power;1.485703
21.306111;-158.108056;Power;1.462443
34.9939;-90.039;Power;1.44025
40.8375;-74.0244;Power;1.432699
26.208;-98.3992;Power;1.425965
38.593093;-76.9066829;Power;1.425566
40.5456;-79.7669;Power;1.415032
32.9761;-112.694;Power;1.414274
30.0561;-93.7539;Power;1.408932
31.058472;-97.316618;Power;1.404247
39.0488574;-77.5848665;Power;1.401288
39.3922;-87.5103;Power;1.397147
40.09399;-82.02394;Power;1.392346
38.6306;-104.7056;Power;1.387639
40.5383;-79.7906;Power;1.37976
27.6417;-81.9625;Power;1.37484
28.2764;-81.533;Power;1.371491
32.33793;-97.736735;Power;1.3663
41.6925;-83.4375;Power;1.366069
34.335556;-89.927244;Power;1.363448
35.2979;-97.5896;Power;1.355377
40.3311;-111.7547;Power;1.354779
32.4302;-97.0537;Power;1.352456
30.2292;-91.065;Power;1.343555
33.3303;-79.3611;Power;1.342431
42.82;-85.9988;Power;1.341199
41.7203;-86.9097;Power;1.340334
30.558;-98.3705;Power;1.33374
35.6578;-89.3964;Power;1.326679
