SECTOR,value,LONGITUDE,LATITUDE
Chemicals,0.090003,20.92,50.02
Chemicals,0.019116,10.47,43.4
Chemicals,0.108598,14.54,53.57
Chemicals,0.070812,18.25,50.3
Chemicals,0.055415,11.59,44.85
Chemicals,0.008256,4.9,43.45
Chemicals,0.013091,7.01,48.99
Chemicals,0.013091,17.26,50.46
Chemicals,0.010711,-1.24,54.57
Chemicals,0.032579,19.27,50.04
Chemicals,0.123475,21.97,51.45
Chemicals,0.021273,15.1,51.63
Chemicals,0.007885,18.97,52.7
Chemicals,0.013538,14.28,37.06
Chemicals,0.041803,9.621,59.12
Chemicals,0.068506,18.25,50.3
Chemicals,0.098185,15.17,37.13
Chemicals,0.065159,15.17,37.13
Chemicals,0.023505,15.17,37.21
Chemicals,0.029232,18,40.63
Chemicals,0.081821,20.92,50.02
Chemicals,0.041654,6.24,48.64
Chemicals,0.013166,5.04,43.38
Chemicals,0.008926,5.42,43.29
Chemicals,0.012943,15.2,37.2
Chemicals,0.059729,12.23,45.44
Chemicals,0.06144,15.17,37.13
Chemicals,0.016587,-1.18,54.59
Chemicals,0.023282,15.26,38.2
Chemicals,0.068134,18.25,50.3
Chemicals,0.041654,11.59,44.85
Chemicals,0.019488,27.66,43.2
Chemicals,0.013984,12.25,44.45
Chemicals,0.020455,-2.74,53.31
Chemicals,0.008926,12.23,44.43
Chemicals,0.063002,18.24,52.75
Chemicals,0.032803,-0.23,53.73
Chemicals,0.02767,-1.17,54.6
Chemicals,0.010265,8.812,45.43
Chemicals,0.074382,18.11,52.76
Chemicals,0.040092,-2.79,53.28
Chemicals,0.009,-2.53,53.26
Chemicals,0.078101,-1.1,54.58
Chemicals,0.011678,12.25,44.45
Chemicals,0.007885,10.85,45.13
Chemicals,0.015695,8.812,45.43
Chemicals,0.041952,-1.26,54.58
Chemicals,0.090746,18.11,52.76
Chemicals,0.052216,9.621,59.12
Chemicals,0.01205,8.812,45.43
Chemicals,0.012496,10.83,45.13
Chemicals,0.032728,25.52,60.3
Chemicals,0.00967,18.23,49.83
Chemicals,0.014505,10.83,45.13
Chemicals,0.009893,12.23,44.43
Chemicals,0.007513,-2.45,53.26
Chemicals,0.067018,12.23,45.44
Chemicals,0.012273,-1.2,54.63
Chemicals,0.0331,25.52,60.3
Chemicals,0.011083,12.23,44.43
